ID,PreisProQM,Added here,Link,Zimmer,Schlafzimmer,Badezimmer,Wohnfläche ca.,Gesamtmiete,Kaltmiete,Grundriss,Stadtteil,Address,Etage,Objektzustand,Bezugsfrei ab,Typ,Nutzfläche ca.,Nebenkosten,Heizkosten,Ausstattung,Baujahr,Besonderheiten,Bonitätsauskunft,Endenergiebedarf,Energieausweis,Energieausweistyp,Energieeffizienzklasse,Energieverbrauchskennwert,Garage/ Stellplatz,Haustiere,Heizungsart,Internet,Modernisierung/ Sanierung,Wesentliche Energieträger
106177101,15.52,07_17,https://www.immobilienscout24.de/expose/106177101,3,KA,KA,69.93,1085,890,No,Wedding,"Glasgower Str. 7A, 13349 Berlin, Wedding (Wedding)",0,KA,Nach Vereinbarung,Erdgeschosswohnung,KA,195,,KA,1908,Keine Besonderheiten,SCHUFA-BonitätsCheck anfordern,161 kWh/(m²*a),KA,Bedarfsausweis,F,KA,KA,KA,Gas-Heizung,Geschwindigkeit prüfen,KA,KA
106177297,17.78,07_17,https://www.immobilienscout24.de/expose/106177297,3,KA,1,90,1600,1300,No,Unknown,10178 Berlin Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.,3 von 5,KA,ab sofort,Etagenwohnung,KA,300,in Nebenkosten enthalten,KA,KA,Einbauküche,SCHUFA-BonitätsCheck anfordern,KA,KA,KA,KA,KA,KA,KA,Zentralheizung,Geschwindigkeit prüfen,KA,KA
