ID,PreisProQM,Added here,Link,Zimmer,Schlafzimmer,Badezimmer,Wohnfläche ca.,Gesamtmiete,Kaltmiete,Grundriss,Stadtteil,Address,Etage,Objektzustand,Bezugsfrei ab,Typ,Nutzfläche ca.,Nebenkosten,Heizkosten,Ausstattung,Baujahr,Besonderheiten,Bonitätsauskunft,Endenergiebedarf,Energieausweis,Energieausweistyp,Energieeffizienzklasse,Energieverbrauchskennwert,Garage/ Stellplatz,Haustiere,Heizungsart,Internet,Modernisierung/ Sanierung,Wesentliche Energieträger
106044784,12.83,07_17,https://www.immobilienscout24.de/expose/106044784,3,2,1,102.9,1320,1133,No,Prenzlauer Berg,"Kollwitzstraße 80, 10435 Berlin, Prenzlauer Berg (Prenzlauer Berg)",5 von 6,Gepflegt,sofort,Etagenwohnung,KA,107,80,Gehobene Qualität,KA,"Balkon/ Terrasse, Keller, Personenaufzug, Einbauküche",SCHUFA-BonitätsCheck anfordern,KA,KA,KA,KA,KA,KA,KA,Zentralheizung,Geschwindigkeit prüfen,KA,KA
106174217,13.07,07_17,https://www.immobilienscout24.de/expose/106174217,3,KA,1,77.2,1009,771,Yep,Wedding,"Nordufer 7a, 13353 Berlin, Wedding (Wedding)",4,Modernisiert,16.08.2018,Etagenwohnung,77.2,238,in Nebenkosten enthalten,KA,1991,"Balkon/ Terrasse, Personenaufzug, Einbauküche, WG-geeignet",SCHUFA-BonitätsCheck anfordern,KA,liegt vor,Verbrauchsausweis,B,KA,Tiefgaragen-Stellplatz,Nach Vereinbarung,Zentralheizung,Geschwindigkeit prüfen,KA,Fernwärme
106169557,17.09,07_17,https://www.immobilienscout24.de/expose/106169557,3,KA,1,104.7,1789,1574,No,Prenzlauer Berg,"Bornholmer Straße 19, 10439 Berlin, Prenzlauer Berg (Prenzlauer Berg)",3 von 4,Erstbezug nach Sanierung,sofort,Etagenwohnung,KA,145,70,KA,1910,"Balkon/ Terrasse, Einbauküche",erforderlich,140 kWh/(m²*a),KA,Bedarfsausweis,KA,KA,KA,KA,KA,Geschwindigkeit prüfen,zuletzt 2017,Öl
106172523,12.55,07_17,https://www.immobilienscout24.de/expose/106172523,3,KA,KA,109.41,1373,882,No,Kreuzberg,"Friedrichstr. 237, 10969 Berlin, Kreuzberg (Kreuzberg)",1,Vollständig renoviert,01.10.2018,Etagenwohnung,KA,491,,KA,1901,"Balkon/ Terrasse, Keller",KA,KA,KA,Verbrauchsausweis,KA,"81,3 kWh/(m²*a)",KA,KA,Fernwärme,KA,KA,Fernwärme
106170683,17.38,07_17,https://www.immobilienscout24.de/expose/106170683,4,3,1,93.21,1620,1350,Yep,Neukölln,"Harzerstr. 4, 12059 Berlin, Neukölln (Neukölln)",4 von 6,Erstbezug nach Sanierung,15.08.2018,Etagenwohnung,5,185,85,Gehobene Qualität,1964,"Balkon/ Terrasse, Keller, Personenaufzug, Einbauküche",SCHUFA-BonitätsCheck anfordern,KA,liegt vor,Verbrauchsausweis,KA,127 kWh/(m²*a),KA,KA,Zentralheizung,KA,zuletzt 2018,Gas
