,ID,PreisProQM,Added here,Link,Zimmer,Schlafzimmer,Badezimmer,Wohnfläche ca.,Gesamtmiete,Kaltmiete,Grundriss,Stadtteil,Address,Etage,Objektzustand,Bezugsfrei ab,Typ,Nutzfläche ca.,Nebenkosten,Heizkosten,Ausstattung,Baujahr,Besonderheiten,Bonitätsauskunft,Endenergiebedarf,Energieausweis,Energieausweistyp,Energieeffizienzklasse,Energieverbrauchskennwert,Garage/ Stellplatz,Haustiere,Heizungsart,Internet,Modernisierung/ Sanierung,Wesentliche Energieträger
39,104537338,16.18,07_16,https://www.immobilienscout24.de/expose/104537338,3.0,KA,1,102.0,1650,1450,Yep,Unknown,10119 Berlin Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.,2 von 5,Vollständig renoviert,ab sofort,Etagenwohnung,KA,200,in Nebenkosten enthalten,Normale Qualität,1890,Einbauküche,SCHUFA-BonitätsCheck anfordern,KA,liegt vor,Verbrauchsausweis,KA,97 kWh/(m²*a),KA,KA,Zentralheizung,Geschwindigkeit prüfen,zuletzt 2016,Erdgas leicht
40,102272163,15.21,07_16,https://www.immobilienscout24.de/expose/102272163,3.0,2,1,106.83,1625,1389,Yep,Mitte,"Schumannstraße 19, 10117 Berlin-Mitte, Mitte (Mitte)",5 von 5,Vollständig renoviert,sofort,Dachgeschoss,106.83,129,107,Gehobene Qualität,1996,"Balkon/ Terrasse, Personenaufzug, Einbauküche, Gäste-WC",erforderlich,KA,liegt vor,Verbrauchsausweis,KA,92 kWh/(m²*a),1 Tiefgaragen-Stellplatz,KA,Zentralheizung,Geschwindigkeit prüfen,KA,Fernwärme
41,90991987,13.59,07_16,https://www.immobilienscout24.de/expose/90991987,4.0,3,1,105.0,1427,1155,No,Wedding,"Soldiner Str. 98, 13359 Berlin, Wedding (Wedding)",1 von 4,Gepflegt,sofort,Etagenwohnung,KA,142,130,KA,1910,Keine Besonderheiten,SCHUFA-BonitätsCheck anfordern,KA,liegt vor,Verbrauchsausweis,KA,202 kWh/(m²*a),KA,Nach Vereinbarung,Etagenheizung,Geschwindigkeit prüfen,KA,Gas
42,100908634,18.56,07_16,https://www.immobilienscout24.de/expose/100908634,3.0,2,1,87.5,1624,1391,No,Mitte,"Michaelkirchstraße 16, 10179 Berlin, Mitte (Mitte)",0 von 5,Erstbezug,01.06.2018,Erdgeschosswohnung,110,233,in Nebenkosten enthalten,Gehobene Qualität,2017,"Balkon/ Terrasse, Keller, Personenaufzug, Garten/ -mitbenutzung, Stufenloser Zugang",SCHUFA-BonitätsCheck anfordern,KA,liegt zur Besichtigung vor,KA,KA,KA,KA,KA,Fußbodenheizung,Verfügbarkeit prüfen,zuletzt 2017,Fernwärme-Dampf
43,106079692,19.21,07_16,https://www.immobilienscout24.de/expose/106079692,3.0,2,2,94.76,1820,1564,Yep,Mitte,"Neue Grünstraße 19c, 10179 Berlin, Mitte (Mitte)",2 von 7,Erstbezug,sofort,Etagenwohnung,KA,256,in Nebenkosten enthalten,Luxus,2018,"Balkon/ Terrasse, Keller, Personenaufzug, Einbauküche, Garten/ -mitbenutzung, Gäste-WC, Stufenloser Zugang, WG-geeignet",erforderlich,"81,2 kWh/(m²*a)",liegt vor,Bedarfsausweis,C,KA,1 Tiefgaragen-Stellplatz,KA,Zentralheizung,Verfügbarkeit prüfen,KA,Fernwärme
44,105946316,16.45,07_16,https://www.immobilienscout24.de/expose/105946316,3.0,2,1,76.0,1250,984,Yep,Neukölln,"Hermannstraße 126, 12051 Berlin-Neukölln, Neukölln (Neukölln)",5 von 6,Vollständig renoviert,01.07.18,Etagenwohnung,KA,190,76,Normale Qualität,1990,"Balkon/ Terrasse, Keller, Personenaufzug, Einbauküche, WG-geeignet",SCHUFA-BonitätsCheck anfordern,KA,liegt vor,Verbrauchsausweis,KA,"284,5 kWh/(m²*a)",KA,Nach Vereinbarung,Zentralheizung,Geschwindigkeit prüfen,KA,Erdgas leicht
45,93298782,18.17,07_16,https://www.immobilienscout24.de/expose/93298782,3.0,2,1,102.76,1867,1550,No,Kreuzberg,"Graefestr. 75, 10967 Berlin, Kreuzberg (Kreuzberg)",4 von 5,Erstbezug,01.08.2018,Etagenwohnung,KA,112,205,KA,1980,Balkon/ Terrasse,SCHUFA-BonitätsCheck anfordern,KA,liegt vor,Verbrauchsausweis,D,KA,KA,KA,Zentralheizung,KA,zuletzt 2018,Gas
46,106034217,16.45,07_16,https://www.immobilienscout24.de/expose/106034217,3.0,KA,1,91.2,1500,1280,Yep,Wedding,"Ravenéstraße 4, 13347 Berlin, Wedding (Wedding)",2 von 4,Saniert,KA,Etagenwohnung,KA,220,in Nebenkosten enthalten,Gehobene Qualität,KA,"Balkon/ Terrasse, Keller",SCHUFA-BonitätsCheck anfordern,KA,liegt zur Besichtigung vor,KA,KA,KA,KA,Nach Vereinbarung,Zentralheizung,Geschwindigkeit prüfen,zuletzt 2017,KA
47,105985335,15.3,07_16,https://www.immobilienscout24.de/expose/105985335,3.0,KA,2,128.0,1958,1573,No,Mitte,"Monbijouplatz 8, 10178 Berlin, Mitte (Mitte)",4 von 6,KA,01.08.2018,KA,KA,385,in Nebenkosten enthalten,KA,KA,"Balkon/ Terrasse, Keller, Personenaufzug, Einbauküche, Stufenloser Zugang",SCHUFA-BonitätsCheck anfordern,KA,KA,KA,KA,KA,1 Stellplatz,KA,Fußbodenheizung,Geschwindigkeit prüfen,KA,KA
48,106079678,19.21,07_16,https://www.immobilienscout24.de/expose/106079678,3.0,2,2,94.71,1819,1563,Yep,Mitte,"Neue Grünstraße 19c, 10179 Berlin, Mitte (Mitte)",2 von 7,Erstbezug,sofort,Etagenwohnung,KA,256,in Nebenkosten enthalten,Luxus,2018,"Balkon/ Terrasse, Keller, Personenaufzug, Einbauküche, Garten/ -mitbenutzung, Gäste-WC, Stufenloser Zugang, WG-geeignet",erforderlich,"81,2 kWh/(m²*a)",liegt vor,Bedarfsausweis,C,KA,1 Tiefgaragen-Stellplatz,KA,Zentralheizung,Verfügbarkeit prüfen,KA,Fernwärme
